# Berlekamp #322 deployment ε table (target 128-bit)

Two codim conjectures:
  - codim_opt = 2(D - w'_min - 1)  [Note 0114, distinct-extras case]
  - codim_worst = 2(c - 1)         [Note 0116, shared-extras worst case]
ε bits = codim · log2(|F|), poly factor ignored.

| field | F_b | n_log | ρ | D | c | T | w'_min | codim_opt | ε_opt | codim_w | ε_worst | verdict |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| KoalaBear | 31 | 2^10 | 1/2 | 512 | 3 | 341 | 255 | 512 | 15866 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^10 | 1/2 | 512 | 4 | 255 | 204 | 614 | 19027 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^10 | 1/2 | 512 | 6 | 170 | 146 | 730 | 22622 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^10 | 1/2 | 512 | 9 | 113 | 102 | 818 | 25349 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^10 | 1/4 | 768 | 3 | 511 | 383 | 768 | 23799 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^10 | 1/4 | 768 | 4 | 383 | 307 | 920 | 28510 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^10 | 1/4 | 768 | 6 | 255 | 219 | 1096 | 33964 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^10 | 1/4 | 768 | 9 | 170 | 153 | 1228 | 38054 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^10 | 1/8 | 896 | 3 | 597 | 447 | 896 | 27766 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^10 | 1/8 | 896 | 4 | 447 | 358 | 1074 | 33282 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^10 | 1/8 | 896 | 6 | 298 | 255 | 1280 | 39666 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^10 | 1/8 | 896 | 9 | 199 | 179 | 1432 | 44376 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^12 | 1/2 | 2048 | 3 | 1365 | 1023 | 2048 | 63465 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^12 | 1/2 | 2048 | 4 | 1023 | 819 | 2456 | 76108 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^12 | 1/2 | 2048 | 6 | 682 | 585 | 2924 | 90611 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^12 | 1/2 | 2048 | 9 | 455 | 409 | 3276 | 101519 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^12 | 1/4 | 3072 | 3 | 2047 | 1535 | 3072 | 95197 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^12 | 1/4 | 3072 | 4 | 1535 | 1228 | 3686 | 114224 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^12 | 1/4 | 3072 | 6 | 1023 | 877 | 4388 | 135978 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^12 | 1/4 | 3072 | 9 | 682 | 614 | 4914 | 152278 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^12 | 1/8 | 3584 | 3 | 2389 | 1791 | 3584 | 111063 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^12 | 1/8 | 3584 | 4 | 1791 | 1433 | 4300 | 133251 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^12 | 1/8 | 3584 | 6 | 1194 | 1023 | 5120 | 158662 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^12 | 1/8 | 3584 | 9 | 796 | 716 | 5734 | 177689 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^14 | 1/2 | 8192 | 3 | 5461 | 4095 | 8192 | 253859 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^14 | 1/2 | 8192 | 4 | 4095 | 3276 | 9830 | 304619 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^14 | 1/2 | 8192 | 6 | 2730 | 2340 | 11702 | 362630 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^14 | 1/2 | 8192 | 9 | 1820 | 1638 | 13106 | 406138 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^14 | 1/4 | 12288 | 3 | 8191 | 6143 | 12288 | 380789 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^14 | 1/4 | 12288 | 4 | 6143 | 4915 | 14744 | 456897 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^14 | 1/4 | 12288 | 6 | 4095 | 3510 | 17554 | 543975 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^14 | 1/4 | 12288 | 9 | 2730 | 2457 | 19660 | 609238 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^14 | 1/8 | 14336 | 3 | 9557 | 7167 | 14336 | 444254 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^14 | 1/8 | 14336 | 4 | 7167 | 5734 | 17202 | 533067 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^14 | 1/8 | 14336 | 6 | 4778 | 4095 | 20480 | 634648 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^14 | 1/8 | 14336 | 9 | 3185 | 2867 | 22936 | 710756 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^16 | 1/2 | 32768 | 3 | 21845 | 16383 | 32768 | 1015437 | 4 | 124 | FAIL (124b) (worst) |
| KoalaBear | 31 | 2^16 | 1/2 | 32768 | 4 | 16383 | 13107 | 39320 | 1218475 | 6 | 186 | OK (186b) (worst) |
| KoalaBear | 31 | 2^16 | 1/2 | 32768 | 6 | 10922 | 9362 | 46810 | 1450580 | 10 | 310 | OK (310b) (worst) |
| KoalaBear | 31 | 2^16 | 1/2 | 32768 | 9 | 7281 | 6553 | 52428 | 1624675 | 16 | 496 | OK (496b) (worst) |
| KoalaBear | 31 | 2^16 | 1/4 | 49152 | 3 | 32767 | 24575 | 49152 | 1523156 | 4 | 124 | FAIL (124b) (worst) |
