n	t	p	M_obs	domain	t|n	(t-1)|n	predicted
32	6	97	0	2^5			O(1)
64	6	193	0	2^6			O(1)
128	6	641	1	2^7			O(1)
256	6	769	2	2^8			O(1)
512	6	7681	0	2^9			O(1)
1024	6	12289	2	2^10			O(1)
128	8	641	16	2^7	Y		16+O(1)
256	8	769	32	2^8	Y		32+O(1)
512	8	7681	0	2^9	Y		64+O(1)
1024	8	12289	0	2^10	Y		128+O(1)
128	10	641	0	2^7			O(1)
256	10	769	0	2^8			O(1)
512	10	7681	0	2^9			O(1)
40	6	241	7	5x8		Y	8+O(1)
80	6	241	15	5x16		Y	16+O(1)
120	6	241	24	5x24	Y	Y	24+O(1)
160	6	641	32	5x32		Y	32+O(1)
240	6	1201	47	5x48	Y	Y	48+O(1)
320	6	1601	63	5x64		Y	64+O(1)
360	6	1801	72	5x72	Y	Y	72+O(1)
640	6	4481	127	5x128		Y	128+O(1)
