
=== q = 17, ω = 3 (primitive 16-th root of 1) ===
  ( 4, 5): |B| = 0
  ( 4, 7): |B| = 0
  ( 4, 9): |B| = 0
  ( 4,11): |B| = 0
  ( 4,13): |B| = 0
  ( 4,15): |B| = 0
  ( 5, 6): |B| = 0
  ( 5, 8): |B| = 16  <<< |B| = 16
  ( 5,10): |B| = 0
  ( 5,12): |B| = 0
  ( 5,14): |B| = 0
  ( 6, 7): |B| = 0
  ( 6, 9): |B| = 0
  ( 6,11): |B| = 0
  ( 6,13): |B| = 0
  ( 6,15): |B| = 0
  ( 7, 8): |B| = 0
  ( 7,10): |B| = 0
  ( 7,12): |B| = 0
  ( 7,14): |B| = 0
  ( 8, 9): |B| = 16  <<< |B| = 16
  ( 8,11): |B| = 16  <<< |B| = 16
  ( 8,13): |B| = 0
  ( 8,15): |B| = 0
  ( 9,10): |B| = 16  <<< |B| = 16
  ( 9,12): |B| = 0
  ( 9,14): |B| = 0
  (10,11): |B| = 16  <<< |B| = 16
  (10,13): |B| = 0
  (10,15): |B| = 0
  (11,12): |B| = 0
  (11,14): |B| = 16  <<< |B| = 16
  (12,13): |B| = 0
  (12,15): |B| = 0
  (13,14): |B| = 0
  (14,15): |B| = 0

=== q = 97, ω = 8 (primitive 16-th root of 1) ===
  ( 4, 5): |B| = 0
  ( 4, 7): |B| = 0
  ( 4, 9): |B| = 0
  ( 4,11): |B| = 0
  ( 4,13): |B| = 0
  ( 4,15): |B| = 0
  ( 5, 6): |B| = 0
  ( 5, 8): |B| = 0
  ( 5,10): |B| = 0
  ( 5,12): |B| = 0
  ( 5,14): |B| = 0
  ( 6, 7): |B| = 0
  ( 6, 9): |B| = 0
  ( 6,11): |B| = 0
  ( 6,13): |B| = 0
  ( 6,15): |B| = 0
  ( 7, 8): |B| = 0
  ( 7,10): |B| = 0
  ( 7,12): |B| = 0
  ( 7,14): |B| = 0
  ( 8, 9): |B| = 96  <<< |B| = 96
  ( 8,11): |B| = 96  <<< |B| = 96
  ( 8,13): |B| = 0
  ( 8,15): |B| = 0
  ( 9,10): |B| = 96  <<< |B| = 96
  ( 9,12): |B| = 0
  ( 9,14): |B| = 0
  (10,11): |B| = 96  <<< |B| = 96
  (10,13): |B| = 0
  (10,15): |B| = 0
  (11,12): |B| = 0
  (11,14): |B| = 0
  (12,13): |B| = 0
  (12,15): |B| = 0
  (13,14): |B| = 0
  (14,15): |B| = 0
