=== dim V_tet_sub vs predicted 2(w'+1) at varying w' ===

  n   c   w   T  wp  pred  D_span       in/N   dim_est  X_dim    verdict
 12   3   3   3   3     8       8 1474/1500     7.997      4      match (p=1009)
 16   4   4   3   3     8       8 1479/1500     7.998      4      match (p=1009)
 16   4   4   3   4    10      10 1478/1500     9.998      9      match (p=1009)
 20   4   6   4   4    10      10  939/1500     9.874      5      match (p=41)
 20   4   6   4   5    12      12  769/1500    11.820     10      match (p=41)
 20   4   6   4   6    14      14  606/1500    13.756     15      match (p=41)
 20   5   5   3   3     8       8 1058/1500     7.906      4      match (p=41)
 20   5   5   3   4    10      10  939/1500     9.874     10      match (p=41)
 20   5   5   3   5    12      12  769/1500    11.820     16      match (p=41)
 24   4   8   5   5    12      12 1454/1500    11.995      6      match (p=1009)
 24   4   8   5   6    14      14 1464/1500    13.996     11      match (p=1009)
 24   4   8   5   7    16      16 1434/1500    15.993     16      match (p=1009)
 24   4   8   5   8    18      18 1425/1500    17.993     21      match (p=1009)
 24   5   7   4   4    10      10 1468/1500     9.997      6      match (p=1009)
 24   5   7   4   5    12      12 1454/1500    11.995     12      match (p=1009)
 24   5   7   4   6    14      14 1464/1500    13.996     18      match (p=1009)
 24   5   7   4   7    16      16 1434/1500    15.993     24      match (p=1009)
