s,log2_s,rounds_R,commit_log2,query_log2,security_bits,arg_size_kib
2,1,17,-162.8446397800109,-127.63103890776047,127.63103890772426,81.9375
4,2,9,-163.7621776198189,-127.63103890776047,127.6310389077413,79.875
8,3,6,-164.34714012054008,-127.63103890776047,127.6310389077477,79.75
16,4,5,-164.61017452637387,-127.63103890776047,127.63103890774983,83.5
32,5,4,-164.93210262126124,-127.63103890776047,127.63103890775194,95.0
64,6,3,-165.34714012054008,-127.63103890776047,127.63103890775407,122.0
128,7,3,-165.34714012054008,-127.63103890776047,127.63103890775407,180.0
256,8,3,-165.34714012054008,-127.63103890776047,127.63103890775407,300.0
512,9,2,-165.93210262126124,-127.63103890776047,127.6310389077562,544.0
1024,10,2,-165.93210262126124,-127.63103890776047,127.6310389077562,1036.0
2048,11,2,-165.93210262126124,-127.63103890776047,127.6310389077562,2024.0
4096,12,2,-165.93210262126124,-127.63103890776047,127.6310389077562,4004.0
