=== q=257 K=1 sweep over all odd-odd pairs in [k_0, n_0) ===
Chain: n_1 = 16, k_1 = 4, δn_1 = 8
Odd-odd pairs in [8, 32): 66 pairs
  (9,11) gap=2: max_tie=0.3178, d_1 dist={0: 1, 11: 256}
  (9,13) gap=4: max_tie=0.3774, d_1 dist={0: 1, 10: 256}
  (9,15) gap=6: max_tie=0.3249, d_1 dist={0: 1, 11: 256}
  (9,17) gap=8 ★: max_tie=0.3152, d_1 dist={0: 1, 11: 256}
  (9,19) gap=10: max_tie=0.3210, d_1 dist={0: 1, 11: 256}
  (9,21) gap=12: max_tie=0.3152, d_1 dist={0: 1, 11: 256}
  (9,23) gap=14: max_tie=0.3813, d_1 dist={0: 1, 10: 256}
  (9,25) gap=16: max_tie=0.5019, d_1 dist={0: 1, 8: 256}
  (9,27) gap=18: max_tie=0.3794, d_1 dist={0: 1, 10: 256}
  (9,29) gap=20: max_tie=0.3774, d_1 dist={0: 1, 10: 256}
  (9,31) gap=22: max_tie=0.3171, d_1 dist={0: 1, 11: 256}
  (11,13) gap=2: max_tie=0.3249, d_1 dist={0: 1, 11: 256}
  (11,15) gap=4: max_tie=0.3799, d_1 dist={0: 1, 10: 256}
  (11,17) gap=6: max_tie=0.3217, d_1 dist={0: 1, 11: 256}
  (11,19) gap=8 ★: max_tie=0.3178, d_1 dist={0: 1, 11: 256}
  (11,21) gap=10: max_tie=0.3256, d_1 dist={0: 1, 11: 256}
  (11,23) gap=12: max_tie=0.3178, d_1 dist={0: 1, 11: 256}
  (11,25) gap=14: max_tie=0.3200, d_1 dist={0: 1, 11: 256}
  (11,27) gap=16: max_tie=0.5039, d_1 dist={0: 1, 8: 256}
  (11,29) gap=18: max_tie=0.3171, d_1 dist={0: 1, 11: 256}
  (11,31) gap=20: max_tie=0.3799, d_1 dist={0: 1, 10: 256}
  (13,15) gap=2: max_tie=0.3178, d_1 dist={0: 1, 11: 256}
  (13,17) gap=4: max_tie=0.3152, d_1 dist={0: 1, 11: 256}
  (13,19) gap=6: max_tie=0.3249, d_1 dist={0: 1, 11: 256}
  (13,21) gap=8 ★: max_tie=0.3152, d_1 dist={0: 1, 11: 256}
  (13,23) gap=10: max_tie=0.3210, d_1 dist={0: 1, 11: 256}
  (13,25) gap=12: max_tie=0.3774, d_1 dist={0: 1, 10: 256}
  (13,27) gap=14: max_tie=0.3210, d_1 dist={0: 1, 11: 256}
  (13,29) gap=16: max_tie=0.5019, d_1 dist={0: 1, 8: 256}
  (13,31) gap=18: max_tie=0.3200, d_1 dist={0: 1, 11: 256}
  (15,17) gap=2: max_tie=0.3256, d_1 dist={0: 1, 11: 256}
  (15,19) gap=4: max_tie=0.3178, d_1 dist={0: 1, 11: 256}
  (15,21) gap=6: max_tie=0.3217, d_1 dist={0: 1, 11: 256}
  (15,23) gap=8 ★: max_tie=0.3178, d_1 dist={0: 1, 11: 256}
  (15,25) gap=10: max_tie=0.3210, d_1 dist={0: 1, 11: 256}
  (15,27) gap=12: max_tie=0.3799, d_1 dist={0: 1, 10: 256}
  (15,29) gap=14: max_tie=0.3200, d_1 dist={0: 1, 11: 256}
  (15,31) gap=16: max_tie=0.5039, d_1 dist={0: 1, 8: 256}
  (17,19) gap=2: max_tie=0.5659, d_1 dist={0: 1, 7: 256}
  (17,21) gap=4: max_tie=0.6265, d_1 dist={0: 1, 6: 256}
  (17,23) gap=6: max_tie=0.5661, d_1 dist={0: 1, 7: 256}
  (17,25) gap=8 ★: max_tie=0.3152, d_1 dist={0: 1, 11: 256}
  (17,27) gap=10: max_tie=0.3217, d_1 dist={0: 1, 11: 256}
  (17,29) gap=12: max_tie=0.3152, d_1 dist={0: 1, 11: 256}
  (17,31) gap=14: max_tie=0.3818, d_1 dist={0: 1, 10: 256}
  (19,21) gap=2: max_tie=0.5661, d_1 dist={0: 1, 7: 256}
  (19,23) gap=4: max_tie=0.6279, d_1 dist={0: 1, 6: 256}
  (19,25) gap=6: max_tie=0.3210, d_1 dist={0: 1, 11: 256}
  (19,27) gap=8 ★: max_tie=0.3799, d_1 dist={0: 1, 10: 256}
  (19,29) gap=10: max_tie=0.3249, d_1 dist={0: 1, 11: 256}
  (19,31) gap=12: max_tie=0.3178, d_1 dist={0: 1, 11: 256}
  (21,23) gap=2: max_tie=0.5659, d_1 dist={0: 1, 7: 256}
  (21,25) gap=4: max_tie=0.3774, d_1 dist={0: 1, 10: 256}
  (21,27) gap=6: max_tie=0.3256, d_1 dist={0: 1, 11: 256}
  (21,29) gap=8 ★: max_tie=0.3152, d_1 dist={0: 1, 11: 256}
  (21,31) gap=10: max_tie=0.3217, d_1 dist={0: 1, 11: 256}
  (23,25) gap=2: max_tie=0.3249, d_1 dist={0: 1, 11: 256}
  (23,27) gap=4: max_tie=0.3799, d_1 dist={0: 1, 10: 256}
  (23,29) gap=6: max_tie=0.3210, d_1 dist={0: 1, 11: 256}
  (23,31) gap=8 ★: max_tie=0.3178, d_1 dist={0: 1, 11: 256}
  (25,27) gap=2: max_tie=0.3178, d_1 dist={0: 1, 11: 256}
  (25,29) gap=4: max_tie=0.3774, d_1 dist={0: 1, 10: 256}
  (25,31) gap=6: max_tie=0.3249, d_1 dist={0: 1, 11: 256}
  (27,29) gap=2: max_tie=0.3249, d_1 dist={0: 1, 11: 256}
  (27,31) gap=4: max_tie=0.3799, d_1 dist={0: 1, 10: 256}
  (29,31) gap=2: max_tie=0.3178, d_1 dist={0: 1, 11: 256}

=== Top 5 K=1 odd-odd cases at q=257 ===
  (19,23) gap=4: tie=0.6279, d_1={0: 1, 6: 256}
  (17,21) gap=4: tie=0.6265, d_1={0: 1, 6: 256}
  (17,23) gap=6: tie=0.5661, d_1={0: 1, 7: 256}
  (19,21) gap=2: tie=0.5661, d_1={0: 1, 7: 256}
  (17,19) gap=2: tie=0.5659, d_1={0: 1, 7: 256}

Max tie_upper for K=1 odd-odd at q=257: 0.6279
Compared to q=97: 0.4490
